word,target
limit,batas
maintain,mempertahankan
negotiate,bernegosiasi
landscape,pemandangan
motivate,memotivasi
noticeable,terlihat jelas
outcome,hasil
predict,memprediksi
require,memerlukan
satisfy,memuaskan
threat,ancaman
unite,menyatukan
vary,bervariasi
warn,memperingatkan
determine,menentukan
evaluate,mengevaluasi
frequent,sering
generous,murah hati
hesitation,keraguan
intense,intens
justice,keadilan
logical,logis
mature,dewasa
judge,menilai
kindness,kebaikan
task,tugas
unique,unik
value,nilai
wonder,bertanya-tanya
achieve,mencapai
balance,keseimbangan
comfort,kenyamanan
decide,memutuskan
expand,memperluas
focus,memusatkan
goal,tujuan
honor,kehormatan
improve,memperbaiki
judge,hakim
keep,menyimpan
listen,mendengarkan
mention,menyebutkan
notice,menyadari
oppose,menentang
prevent,mencegah
react,bereaksi
respect,menghormati
struggle,berjuang
trust,mempercayai
understand,memahami
vote,memilih
accept,menerima
blame,menyalahkan
celebrate,merayakan
deliver,mengantar
encourage,mendorong
fail,gagal
gather,mengumpulkan
help,membantu
invite,mengundang
notice,memperhatikan
offer,menawarkan
question,bertanya
remind,mengingatkan
support,mendukung
thank,berterima kasih
understand,mengerti
say,mengatakan
try,mencoba
use,menggunakan
view,melihat
yell,berteriak
zoom,memperbesar
It’s highly efficient.,Itu sangat efisien
Stay flexible always.,Selalu tetap fleksibel
Generate more ideas.,Hasilkan lebih banyak ide
They were hostile.,Mereka bersikap bermusuhan
Powerful impact there.,Dampak kuat di sana
Justice was served.,Keadilan telah ditegakkan
She’s very keen.,Dia sangat antusias
Maintain your pace.,Pertahankan ritmemu
They negotiated well.,Mereka bernegosiasi dengan baik
Huge obstacle ahead.,Hambatan besar di depan
He participated fully.,Dia berpartisipasi sepenuhnya
Famous quote today.,Kutipan terkenal hari ini
He’s always reliable.,Dia selalu dapat dipercaya
Just a temporary fix.,Hanya perbaikan sementara
Sudden urge came.,Dorongan tiba-tiba datang
Visible from here.,Terlihat dari sini
I witnessed it.,Saya menyaksikannya
She yearns peace.,Dia mendambakan kedamaian
He’s truly zealous.,Dia benar-benar bersemangat
Her ambition grows.,Ambisinya tumbuh
The bridge collapsed.,Jembatan itu runtuh
Evaluate it carefully.,Evaluasi dengan hati-hati
Never hesitate again.,Jangan ragu lagi
Intense moment there.,Momen yang intens di sana
Don’t abandon hope.,Jangan tinggalkan harapan
He negotiated calmly.,Dia bernegosiasi dengan tenang
Maintain your focus.,Pertahankan fokusmu
